model,stage,steer_layer,read_layer,source,target,alpha,abs_alpha,delta,ci_low,ci_high,delta_auc,mean_kl,kl_harmless,random_kl_harmless,content_ratio,refusal_rate,d_refusal,d_refusal_harmful,d_refusal_harmless,margin_shift,class_gap
qwen2.5-7b,C,6,7,R_harm,R_role,-2.0,2.0,0.0015885098837316036,0.00023705340681772215,0.002966510091209783,0.017999976873397827,0.08495723456144333,0.15005427598953247,0.052812485955655575,2.8412651530080737,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.9502539038658142,9.503987312316895
qwen2.5-7b,C,6,17,R_harm,R_harm,-2.0,2.0,-0.07271770387887955,-0.08001600429415703,-0.06605176888406278,0.0003999471664428711,0.08495723456144333,0.15005427598953247,0.052812485955655575,2.8412651530080737,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.9502539038658142,23.48501205444336
qwen2.5-7b,C,6,17,R_harm,R_control,-2.0,2.0,0.0787968784570694,0.06446442529559135,0.09284590873867272,0.03279995918273926,0.08495723456144333,0.15005427598953247,0.052812485955655575,2.8412651530080737,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.9502539038658142,13.214834213256836
qwen2.5-7b,C,6,17,R_harm,R_role,-2.0,2.0,0.04246263578534126,0.03667740998789668,0.048027276154607536,0.011599995195865631,0.08495723456144333,0.15005427598953247,0.052812485955655575,2.8412651530080737,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.9502539038658142,22.735044479370117
qwen2.5-7b,C,6,27,R_harm,R_harm,-2.0,2.0,-0.007955562323331833,-0.014035671739839018,-0.0015423425764311111,0.0004000067710876465,0.08495723456144333,0.15005427598953247,0.052812485955655575,2.8412651530080737,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.9502539038658142,206.79986572265625
qwen2.5-7b,C,6,27,R_harm,R_control,-2.0,2.0,0.02060442976653576,0.013096585567109287,0.02851698570884764,0.000800013542175293,0.08495723456144333,0.15005427598953247,0.052812485955655575,2.8412651530080737,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.9502539038658142,150.81204223632812
qwen2.5-7b,C,6,27,R_harm,R_role,-2.0,2.0,0.027181686833500862,0.01086944593116641,0.04411080554127693,0.03720000386238098,0.08495723456144333,0.15005427598953247,0.052812485955655575,2.8412651530080737,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.9502539038658142,98.78836059570312
qwen2.5-7b,C,6,7,R_harm,R_harm,4.0,4.0,2.864807367324829,2.8394555389881133,2.890066033601761,0.0003999471664428711,0.2836936116218567,0.451683908700943,0.17688842304050922,2.553496158408868,0.4,0.010000000000000009,0.020000000000000018,0.0,-1.384433627128601,4.563311576843262
qwen2.5-7b,C,6,7,R_harm,R_control,4.0,4.0,-2.0056726932525635,-2.0289344131946563,-1.9830619186162948,-0.0012000054121017456,0.2836936116218567,0.451683908700943,0.17688842304050922,2.553496158408868,0.4,0.010000000000000009,0.020000000000000018,0.0,-1.384433627128601,2.4142346382141113
qwen2.5-7b,C,6,7,R_harm,R_role,4.0,4.0,-0.019764132797718048,-0.021780262188985943,-0.017841598857194184,-0.014400020241737366,0.2836936116218567,0.451683908700943,0.17688842304050922,2.553496158408868,0.4,0.010000000000000009,0.020000000000000018,0.0,-1.384433627128601,9.503987312316895
