model,stage,steer_layer,read_layer,source,target,alpha,abs_alpha,delta,ci_low,ci_high,delta_auc,mean_kl,kl_harmless,random_kl_harmless,content_ratio,margin_shift,class_gap
qwen3.5-9b,C,7,8,R_harm,R_role,4.0,4.0,-0.29089120030403137,-0.29739406034350396,-0.2846317492425442,0.03840002417564392,0.3245135545730591,0.5942966938018799,0.2749739568680525,2.161283565072513,1.767187476158142,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,4.0,4.0,-0.052790116518735886,-0.09236145969480276,-0.015590838110074438,-0.01239997148513794,0.3245135545730591,0.5942966938018799,0.2749739568680525,2.161283565072513,1.767187476158142,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,4.0,4.0,-0.16794443130493164,-0.21772534400224686,-0.12073478922247888,-0.025600016117095947,0.3245135545730591,0.5942966938018799,0.2749739568680525,2.161283565072513,1.767187476158142,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,4.0,4.0,-0.3137240707874298,-0.33979764953255653,-0.2884053505957127,-0.10199999809265137,0.3245135545730591,0.5942966938018799,0.2749739568680525,2.161283565072513,1.767187476158142,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,4.0,4.0,-0.005648197140544653,-0.030441334331408144,0.018860448012128456,-0.0067999958992004395,0.3245135545730591,0.5942966938018799,0.2749739568680525,2.161283565072513,1.767187476158142,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,4.0,4.0,0.003152970690280199,-0.024316943483427167,0.030566138587892044,-0.018799960613250732,0.3245135545730591,0.5942966938018799,0.2749739568680525,2.161283565072513,1.767187476158142,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,4.0,4.0,-0.059306737035512924,-0.0969383291900158,-0.02220880347304046,0.028400003910064697,0.3245135545730591,0.5942966938018799,0.2749739568680525,2.161283565072513,1.767187476158142,60.2837028503418
qwen3.5-9b,C,7,8,R_harm,R_harm,-4.0,4.0,-3.138633966445923,-3.1944180190563203,-3.082478243112564,-0.01840001344680786,0.6520411968231201,0.7104312777519226,0.2749739568680525,2.583631140358599,-2.1078124046325684,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,-4.0,4.0,0.1587851643562317,0.11804850790649653,0.19841635562479493,0.07479998469352722,0.6520411968231201,0.7104312777519226,0.2749739568680525,2.583631140358599,-2.1078124046325684,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,-4.0,4.0,0.4387369155883789,0.4345834828913212,0.4426051966845989,-0.03799998760223389,0.6520411968231201,0.7104312777519226,0.2749739568680525,2.583631140358599,-2.1078124046325684,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,-4.0,4.0,-0.13705705106258392,-0.17430273480713368,-0.10159968938678508,-0.0059999823570251465,0.6520411968231201,0.7104312777519226,0.2749739568680525,2.583631140358599,-2.1078124046325684,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,-4.0,4.0,-0.0976010262966156,-0.1518428150564432,-0.04634949117898942,-0.021600008010864258,0.6520411968231201,0.7104312777519226,0.2749739568680525,2.583631140358599,-2.1078124046325684,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,-4.0,4.0,0.1936066448688507,0.15736822858452798,0.22797574028372758,-0.1340000033378601,0.6520411968231201,0.7104312777519226,0.2749739568680525,2.583631140358599,-2.1078124046325684,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,-4.0,4.0,-0.12518616020679474,-0.15526763200759888,-0.09705611169338228,-0.0004000067710876465,0.6520411968231201,0.7104312777519226,0.2749739568680525,2.583631140358599,-2.1078124046325684,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,-4.0,4.0,-0.09457232803106308,-0.1331974308937788,-0.05717803407460452,-0.01239997148513794,0.6520411968231201,0.7104312777519226,0.2749739568680525,2.583631140358599,-2.1078124046325684,76.66504669189453
