layer,relative_depth,train_accuracy,accuracy,acc_ci_low,acc_ci_high,chance,n_test_instructions,auc_tool_user,auc_ci_low_tool_user,auc_ci_high_tool_user,cos_probe_vs_dom_tool_user,auc_matched_tool_user,auc_matched_ci_low_tool_user,auc_matched_ci_high_tool_user,length_matched_auc_tool_user,auc_system_user,auc_ci_low_system_user,auc_ci_high_system_user,cos_probe_vs_dom_system_user,auc_matched_system_user,auc_matched_ci_low_system_user,auc_matched_ci_high_system_user,length_matched_auc_system_user,auc_assistant_user,auc_ci_low_assistant_user,auc_ci_high_assistant_user,cos_probe_vs_dom_assistant_user,auc_matched_assistant_user,auc_matched_ci_low_assistant_user,auc_matched_ci_high_assistant_user,length_matched_auc_assistant_user
20,0.6452,0.9999472128378378,0.9782608695652174,0.9695073962211609,0.9863432049751282,0.25,100,0.8869500756263733,0.8699920177459717,0.9041496515274048,0.588047981262207,0.7726880311965942,0.7360725998878479,0.8084686398506165,0.5130971670150757,0.9572706818580627,0.9461031556129456,0.9690486788749695,0.6754517555236816,0.8160493969917297,0.7903743386268616,0.8449304103851318,0.49981802701950073,0.9918748140335083,0.9889885187149048,0.9946103096008301,0.5089117288589478,0.9910266995429993,0.9860906004905701,0.9952951073646545,0.4993681311607361
21,0.6774,1.0,0.9838554987212276,0.977227509021759,0.9900078773498535,0.25,100,0.8975939750671387,0.8811009526252747,0.9133474826812744,0.597978949546814,0.7723758220672607,0.736020565032959,0.8075834512710571,0.5130971670150757,0.961775004863739,0.9509590268135071,0.9727938175201416,0.6782911419868469,0.8217171430587769,0.796664834022522,0.8490025401115417,0.49981802701950073,0.9885826110839844,0.98468416929245,0.9921201467514038,0.4843285083770752,0.9905050992965698,0.985670268535614,0.994596540927887,0.4993681311607361
22,0.7097,1.0,0.9777813299232737,0.9688267707824707,0.9856149554252625,0.25,100,0.8732445240020752,0.8574228286743164,0.8902847766876221,0.5880571603775024,0.7754583954811096,0.7395467758178711,0.8115912079811096,0.5130971670150757,0.944219708442688,0.9313452839851379,0.9571717977523804,0.6601241827011108,0.8119456171989441,0.7871441841125488,0.8392621874809265,0.49981802701950073,0.9673348665237427,0.9597824215888977,0.9748762249946594,0.4296426773071289,0.9716386198997498,0.9620724320411682,0.9809431433677673,0.4993681311607361
23,0.7419,1.0,0.9736253196930946,0.9646722078323364,0.9824184775352478,0.25,100,0.8756422400474548,0.8592160940170288,0.8934944272041321,0.5784955024719238,0.7589809894561768,0.7216324210166931,0.7942508459091187,0.5130971670150757,0.9436984658241272,0.929097056388855,0.9587540030479431,0.6448222994804382,0.8195720911026001,0.7935032844543457,0.8478487730026245,0.49981802701950073,0.9565364718437195,0.9486003518104553,0.9645350575447083,0.4229491055011749,0.9685282111167908,0.9591550827026367,0.9778741002082825,0.4993681311607361
24,0.7742,1.0,0.9806585677749361,0.9729264974594116,0.9879162907600403,0.25,100,0.8629632592201233,0.8474299907684326,0.879538357257843,0.6006477475166321,0.7548765540122986,0.7188236117362976,0.7906391620635986,0.5130971670150757,0.9259857535362244,0.9086107611656189,0.9436935782432556,0.6447935104370117,0.8078649044036865,0.7820714116096497,0.836514949798584,0.49981802701950073,0.9461513161659241,0.9356811046600342,0.9570424556732178,0.44694021344184875,0.9627127051353455,0.9516434073448181,0.9738606810569763,0.4993681311607361
25,0.8065,1.0,0.9803388746803069,0.9734992384910583,0.9865912795066833,0.25,100,0.8112204074859619,0.7963730096817017,0.8278632164001465,0.5851744413375854,0.7503917217254639,0.7134388089179993,0.7868940234184265,0.5130971670150757,0.8987296223640442,0.8789847493171692,0.919567346572876,0.6231467127799988,0.7842350602149963,0.7574082016944885,0.8126936554908752,0.49981802701950073,0.9346284866333008,0.9231704473495483,0.946818470954895,0.44721198081970215,0.9532652497291565,0.940172553062439,0.9662829637527466,0.4993681311607361
26,0.8387,1.0,0.9800191815856778,0.9726797938346863,0.9867690801620483,0.25,100,0.7945297360420227,0.7791289687156677,0.8127538561820984,0.5562782287597656,0.7485182881355286,0.7107521891593933,0.7850422859191895,0.5130971670150757,0.9267980456352234,0.9084243178367615,0.9455201029777527,0.6169270277023315,0.7898132801055908,0.7623654007911682,0.8197445869445801,0.49981802701950073,0.9409835338592529,0.9298831820487976,0.9514195322990417,0.47028374671936035,0.9805929660797119,0.9728932976722717,0.987929105758667,0.4993681311607361
27,0.871,1.0,0.9798593350383632,0.9732010364532471,0.9862730503082275,0.25,100,0.7804329991340637,0.7652957439422607,0.79706209897995,0.564018726348877,0.7479988932609558,0.7113484144210815,0.7838973999023438,0.5130971670150757,0.9099818468093872,0.8914826512336731,0.9295635223388672,0.6102079749107361,0.7910008430480957,0.7648206353187561,0.8184213638305664,0.49981802701950073,0.9372657537460327,0.9262334108352661,0.9485082626342773,0.46036314964294434,0.9613471627235413,0.9494665265083313,0.9720843434333801,0.4993681311607361
28,0.9032,1.0,0.9798593350383632,0.9719520211219788,0.9872255325317383,0.25,100,0.7969380617141724,0.7818502187728882,0.8133693933486938,0.5616014003753662,0.7440363168716431,0.7079644203186035,0.7804010510444641,0.5130971670150757,0.8992823958396912,0.8796147704124451,0.919876217842102,0.6056313514709473,0.79795902967453,0.7724434733390808,0.8253948092460632,0.49981802701950073,0.9555769562721252,0.9464997053146362,0.9646873474121094,0.48508915305137634,0.9787485003471375,0.9711344838142395,0.9856436252593994,0.4993681311607361
29,0.9355,1.0,0.9806585677749361,0.9730668663978577,0.9875994324684143,0.25,100,0.8423614501953125,0.827391505241394,0.8575257062911987,0.5665819048881531,0.7560119032859802,0.7220778465270996,0.7907002568244934,0.5130971670150757,0.9242756366729736,0.9071006178855896,0.9423133730888367,0.6304975152015686,0.8359398245811462,0.8104487657546997,0.8623453974723816,0.49981802701950073,0.9764481782913208,0.970293402671814,0.9823061227798462,0.4989051818847656,0.9920461177825928,0.9884623885154724,0.9952301383018494,0.4993681311607361
30,0.9677,1.0,0.9924872122762148,0.9886360168457031,0.9959017634391785,0.25,100,0.8443340063095093,0.8294382095336914,0.8598023056983948,0.6125190854072571,0.7914987206459045,0.7595012187957764,0.8231797814369202,0.5130971670150757,0.970941424369812,0.9604509472846985,0.9809723496437073,0.6806313991546631,0.9018781781196594,0.8824952840805054,0.9212185144424438,0.49981802701950073,0.9938207864761353,0.9910457134246826,0.9960894584655762,0.5596112012863159,0.9993812441825867,0.998745858669281,0.99985271692276,0.4993681311607361
31,1.0,1.0,0.9926470588235294,0.9900755882263184,0.9952111840248108,0.25,100,0.7552360892295837,0.7396003603935242,0.7736048698425293,0.48205599188804626,0.7202923893928528,0.6913889050483704,0.7524069547653198,0.5130971670150757,0.8806240558624268,0.864313006401062,0.8978481888771057,0.573327898979187,0.8372157216072083,0.8158004879951477,0.8589383959770203,0.49981802701950073,0.8589025139808655,0.8426315784454346,0.8772711157798767,0.44888997077941895,0.9090719223022461,0.8847787380218506,0.931338369846344,0.4993681311607361
