model,stage,steer_layer,relative_depth,source,token_set,alpha,abs_alpha,mean_kl,margin_shift
qwen2.5-7b,B,11,0.4074,R_harm,instruction_span,1.0,1.0,0.024039102718234062,-0.04414062574505806
qwen2.5-7b,B,11,0.4074,R_harm,instruction_span,-1.0,1.0,0.035535238683223724,0.17734375596046448
qwen2.5-7b,B,11,0.4074,R_harm,instruction_span,2.0,2.0,0.09190899133682251,0.008984374813735485
qwen2.5-7b,B,11,0.4074,R_harm,instruction_span,-2.0,2.0,0.11534321308135986,0.5068359375
qwen2.5-7b,B,11,0.4074,R_harm,instruction_span,4.0,4.0,0.3937102258205414,0.421875
qwen2.5-7b,B,11,0.4074,R_harm,instruction_span,-4.0,4.0,0.3927903473377228,1.321679711341858
qwen2.5-7b,B,11,0.4074,R_control,instruction_span,0.25,0.25,0.001128857838921249,0.06289062649011612
qwen2.5-7b,B,11,0.4074,R_control,instruction_span,-0.25,0.25,0.0009107632795348763,-0.07187499850988388
qwen2.5-7b,B,11,0.4074,R_control,instruction_span,0.5,0.5,0.002102562924847007,0.09843750298023224
qwen2.5-7b,B,11,0.4074,R_control,instruction_span,-0.5,0.5,0.0025543197989463806,-0.09433593600988388
qwen2.5-7b,B,11,0.4074,R_control,instruction_span,1.0,1.0,0.006996961776167154,0.2412109375
qwen2.5-7b,B,11,0.4074,R_control,instruction_span,-1.0,1.0,0.010505715385079384,-0.23398438096046448
qwen2.5-7b,B,11,0.4074,R_control,instruction_span,2.0,2.0,0.02040119282901287,0.44755858182907104
qwen2.5-7b,B,11,0.4074,R_control,instruction_span,-2.0,2.0,0.04136212542653084,-0.46855467557907104
qwen2.5-7b,B,11,0.4074,R_control,instruction_span,4.0,4.0,0.059784047305583954,0.917163074016571
qwen2.5-7b,B,11,0.4074,R_control,instruction_span,-4.0,4.0,0.14176785945892334,-0.854687511920929
qwen2.5-7b,B,11,0.4074,R_role,instruction_span,0.25,0.25,0.006374497897922993,0.02871093712747097
qwen2.5-7b,B,11,0.4074,R_role,instruction_span,-0.25,0.25,0.004877440631389618,-0.04667968675494194
qwen2.5-7b,B,11,0.4074,R_role,instruction_span,0.5,0.5,0.022939687594771385,0.04765624925494194
qwen2.5-7b,B,11,0.4074,R_role,instruction_span,-0.5,0.5,0.01750047132372856,-0.0849609375
qwen2.5-7b,B,11,0.4074,R_role,instruction_span,1.0,1.0,0.08736339956521988,0.0478515625
qwen2.5-7b,B,11,0.4074,R_role,instruction_span,-1.0,1.0,0.059679895639419556,-0.17148438096046448
qwen2.5-7b,B,11,0.4074,R_role,instruction_span,2.0,2.0,0.4271027445793152,-0.12089844048023224
qwen2.5-7b,B,11,0.4074,R_role,instruction_span,-2.0,2.0,0.17417322099208832,-0.4081054627895355
qwen2.5-7b,B,11,0.4074,R_role,instruction_span,4.0,4.0,2.030308246612549,-1.5361328125
qwen2.5-7b,B,11,0.4074,R_role,instruction_span,-4.0,4.0,0.5665198564529419,-1.098242163658142
qwen2.5-7b,B,11,0.4074,R_harm,t_inst_only,0.25,0.25,0.0008161744917742908,-0.0263671875
qwen2.5-7b,B,11,0.4074,R_harm,t_inst_only,-0.25,0.25,0.0011261652689427137,0.00937500037252903
qwen2.5-7b,B,11,0.4074,R_harm,t_inst_only,0.5,0.5,0.001801208360120654,-0.03007812425494194
qwen2.5-7b,B,11,0.4074,R_harm,t_inst_only,-0.5,0.5,0.002405119827017188,0.03945312649011612
qwen2.5-7b,B,11,0.4074,R_harm,t_inst_only,1.0,1.0,0.005494146607816219,-0.02968749962747097
qwen2.5-7b,B,11,0.4074,R_harm,t_inst_only,-1.0,1.0,0.0068494947627186775,0.048828125
qwen2.5-7b,B,11,0.4074,R_harm,t_inst_only,2.0,2.0,0.019810255616903305,-0.08974609524011612
qwen2.5-7b,B,11,0.4074,R_harm,t_inst_only,-2.0,2.0,0.020313125103712082,0.13164062798023224
qwen2.5-7b,B,11,0.4074,R_harm,t_inst_only,4.0,4.0,0.06324009597301483,-0.06757812201976776
qwen2.5-7b,B,11,0.4074,R_harm,t_inst_only,-4.0,4.0,0.05007036775350571,0.33574217557907104
qwen2.5-7b,B,11,0.4074,R_control,t_inst_only,0.25,0.25,0.0006372347706928849,0.0048828125
