model,stage,steer_layer,read_layer,read_position,gate_read_layer,relative_read_depth,source,target,alpha,abs_alpha,delta,ci_low,ci_high,delta_auc,mean_kl,kl_harmless,random_kl_harmless,content_ratio,refusal_rate,d_refusal,d_refusal_harmful,d_refusal_harmless,margin_shift,class_gap
qwen2.5-7b,C,6,18,t_inst,False,0.6667,R_harm,R_role,0.25,0.25,0.001687035895884037,0.0007421321352012455,0.002625825582072139,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,21.350358963012695
qwen2.5-7b,C,6,18,t_post_inst,False,0.6667,R_harm,R_harm,0.25,0.25,0.006956192664802074,0.005754692945629358,0.008192943409085274,-0.0004000067710876465,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,32.92240524291992
qwen2.5-7b,C,6,18,t_post_inst,False,0.6667,R_harm,R_control,0.25,0.25,-0.00421710591763258,-0.005400451365858316,-0.002950989408418536,-0.001999974250793457,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,36.86245346069336
qwen2.5-7b,C,6,18,t_post_inst,False,0.6667,R_harm,R_role,0.25,0.25,-0.01051347702741623,-0.01180217880755663,-0.00919751264154911,0.0020000040531158447,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,24.569276809692383
qwen2.5-7b,C,6,19,t_inst,False,0.7037,R_harm,R_harm,0.25,0.25,-0.000433836888987571,-0.0010531116276979446,0.0001825515937525779,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,41.053977966308594
qwen2.5-7b,C,6,19,t_inst,False,0.7037,R_harm,R_role,0.25,0.25,-0.000198517634999007,-0.0011980904964730144,0.0007381796604022384,0.001199960708618164,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,26.831851959228516
qwen2.5-7b,C,6,19,t_post_inst,False,0.7037,R_harm,R_harm,0.25,0.25,0.0052579836919903755,0.004127426538616419,0.006453526206314564,-0.0004000067710876465,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,42.86072540283203
qwen2.5-7b,C,6,19,t_post_inst,False,0.7037,R_harm,R_control,0.25,0.25,-0.0024006152525544167,-0.003519045189023018,-0.001191727933473885,-0.0012000203132629395,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,47.84519577026367
qwen2.5-7b,C,6,19,t_post_inst,False,0.7037,R_harm,R_role,0.25,0.25,-0.007313149981200695,-0.008541593328118324,-0.006119327154010534,-0.0020000040531158447,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,26.519367218017578
qwen2.5-7b,C,6,20,t_inst,False,0.7407,R_harm,R_harm,0.25,0.25,-0.0007774459663778543,-0.0014926772564649582,-5.195751873543486e-05,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,46.33469772338867
qwen2.5-7b,C,6,20,t_inst,False,0.7407,R_harm,R_role,0.25,0.25,-0.0015881989384070039,-0.002510911552235484,-0.000676555500831455,0.001999974250793457,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,33.13011932373047
qwen2.5-7b,C,6,20,t_post_inst,False,0.7407,R_harm,R_harm,0.25,0.25,0.0014186655171215534,0.00041277441778220236,0.0024369610473513603,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,60.96634292602539
qwen2.5-7b,C,6,20,t_post_inst,False,0.7407,R_harm,R_control,0.25,0.25,-0.0038931947201490402,-0.004913115408271551,-0.0028540529310703278,-0.0007999539375305176,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,71.06637573242188
qwen2.5-7b,C,6,20,t_post_inst,False,0.7407,R_harm,R_role,0.25,0.25,-0.007113567087799311,-0.00873790867626667,-0.005516950972378254,-0.0015999674797058105,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,32.757503509521484
qwen2.5-7b,C,6,21,t_inst,False,0.7778,R_harm,R_harm,0.25,0.25,-0.000595704244915396,-0.001244399813003838,5.754997255280614e-05,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,54.011131286621094
qwen2.5-7b,C,6,21,t_inst,False,0.7778,R_harm,R_role,0.25,0.25,-0.0006569888209924102,-0.0013642138801515102,3.2099211239255965e-05,0.0020000338554382324,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,46.43123245239258
qwen2.5-7b,C,6,21,t_post_inst,False,0.7778,R_harm,R_harm,0.25,0.25,0.0020873001776635647,0.0010762333404272795,0.0031570917926728725,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,73.05677032470703
qwen2.5-7b,C,6,21,t_post_inst,False,0.7778,R_harm,R_control,0.25,0.25,-0.003290387801826,-0.004362048581242561,-0.0021521078888326883,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,86.86335754394531
qwen2.5-7b,C,6,21,t_post_inst,False,0.7778,R_harm,R_role,0.25,0.25,-0.00636086892336607,-0.008013108745217323,-0.004644691478461027,0.0059999823570251465,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,37.544498443603516
qwen2.5-7b,C,6,22,t_inst,False,0.8148,R_harm,R_harm,0.25,0.25,0.0004805393982678652,-5.70311640331056e-05,0.0010415270226076245,0.0004000067710876465,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,61.18372344970703
qwen2.5-7b,C,6,22,t_inst,False,0.8148,R_harm,R_role,0.25,0.25,-0.0011323197977617383,-0.0020043582189828157,-0.000258297921391204,0.000800013542175293,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,56.474693298339844
