concept,layer,relative_depth,train_auc,auc,auc_ci_low,auc_ci_high,length_only_auc,random_auc,model
R_harm_user,27,1.0,0.9378777742385864,0.962499976158142,0.9271237850189208,0.9860960841178894,0.7054312229156494,0.5404999852180481,qwen2.5-7b
R_control,0,0.0,0.8976406455039978,0.7137736678123474,0.5182371139526367,0.8740993738174438,0.3684110939502716,0.6248847842216492,qwen2.5-7b
R_control,1,0.037,0.8692478537559509,0.7057859897613525,0.4849030077457428,0.8780574798583984,0.3684110939502716,0.601945698261261,qwen2.5-7b
R_control,2,0.0741,0.8434966802597046,0.6642088890075684,0.4390537440776825,0.8493577241897583,0.3684110939502716,0.368561178445816,qwen2.5-7b
R_control,3,0.1111,0.8182899951934814,0.6636968851089478,0.477230042219162,0.8267512321472168,0.3684110939502716,0.4037890434265136,qwen2.5-7b
R_control,4,0.1481,0.8339383006095886,0.7001535892486572,0.536891520023346,0.841292679309845,0.3684110939502716,0.4228366613388061,qwen2.5-7b
R_control,5,0.1852,0.8494656085968018,0.6901177763938904,0.5117684602737427,0.8385280966758728,0.3684110939502716,0.3644649386405945,qwen2.5-7b
R_control,6,0.2222,0.8411776423454285,0.7114183306694031,0.5413317084312439,0.8585606813430786,0.3684110939502716,0.621607780456543,qwen2.5-7b
R_control,7,0.2593,0.8515830039978027,0.7465437650680542,0.5572064518928528,0.9077492356300354,0.3684110939502716,0.5840245485305786,qwen2.5-7b
R_control,8,0.2963,0.850252091884613,0.7754224538803101,0.6069902181625366,0.9202996492385864,0.3684110939502716,0.5314900279045105,qwen2.5-7b
R_control,9,0.3333,0.8618471622467041,0.8091141581535339,0.6420464515686035,0.9325543642044068,0.3684110939502716,0.5670250654220581,qwen2.5-7b
R_control,10,0.3704,0.859689474105835,0.8176138997077942,0.6432326436042786,0.9384621977806092,0.3684110939502716,0.5837173461914062,qwen2.5-7b
R_control,11,0.4074,0.8845735192298889,0.8264209032058716,0.64774489402771,0.9529885649681092,0.3684110939502716,0.6243727803230286,qwen2.5-7b
R_control,12,0.4444,0.8777374625205994,0.8310291767120361,0.6663909554481506,0.9481635093688964,0.3684110939502716,0.5430619716644287,qwen2.5-7b
R_control,13,0.4815,0.9695301651954652,0.9573988914489746,0.9106715321540833,0.9877152442932128,0.3684110939502716,0.7716333866119385,qwen2.5-7b
R_control,14,0.5185,0.9757813811302184,0.9735791087150574,0.9413058161735536,0.9914082884788512,0.3684110939502716,0.5477726459503174,qwen2.5-7b
R_control,15,0.5556,0.9798951148986816,0.9799283146858216,0.9547473192214966,0.9942046999931335,0.3684110939502716,0.6305171251296997,qwen2.5-7b
R_control,16,0.5926,0.9768703579902648,0.9784946441650392,0.950133204460144,0.995115339756012,0.3684110939502716,0.4906297922134399,qwen2.5-7b
R_control,17,0.6296,0.9776567816734314,0.986584722995758,0.966325581073761,0.9981499314308168,0.3684110939502716,0.2329749166965484,qwen2.5-7b
R_control,18,0.6667,0.9911071062088012,0.9909881949424744,0.9783973693847656,0.9994879364967346,0.3684110939502716,0.4074756801128387,qwen2.5-7b
R_control,19,0.7037,0.9955434799194336,0.9929339289665222,0.9824766516685486,1.0,0.3684110939502716,0.8629800081253052,qwen2.5-7b
R_control,20,0.7407,0.9973583221435548,0.9934459924697876,0.984406352043152,0.9994953274726868,0.3684110939502716,0.2188428044319152,qwen2.5-7b
R_control,21,0.7778,0.9972575306892396,0.9934459924697876,0.9839122891426086,0.9998188018798828,0.3684110939502716,0.3104966580867767,qwen2.5-7b
R_control,22,0.8148,0.9972776770591736,0.99262672662735,0.9813247323036194,0.9997314810752868,0.3684110939502716,0.5548387169837952,qwen2.5-7b
R_control,23,0.8519,0.9971163272857666,0.9929339289665222,0.9819461703300476,0.9998188018798828,0.3684110939502716,0.0813108012080192,qwen2.5-7b
R_control,24,0.8889,0.995946764945984,0.992831528186798,0.9810128808021544,0.9998010396957396,0.3684110939502716,0.2473118305206298,qwen2.5-7b
R_control,25,0.9259,0.9953417778015136,0.9923195242881776,0.9797748923301696,0.9998010396957396,0.3684110939502716,0.5342549681663513,qwen2.5-7b
R_control,26,0.963,0.9951401352882384,0.9924219250679016,0.9805248379707336,0.9998010396957396,0.3684110939502716,0.4105478823184967,qwen2.5-7b
R_control,27,1.0,0.9947772026062012,0.9933435916900636,0.9826306700706482,0.999636173248291,0.3684110939502716,0.4659498333930969,qwen2.5-7b
R_harm_at_post,0,0.0,0.9204930663108826,0.9440374970436096,0.9138584136962892,0.9690868854522704,0.6523078083992004,0.6115249991416931,qwen2.5-7b
R_harm_at_post,1,0.037,0.9082263708114624,0.9290249943733216,0.8962144255638123,0.9560828804969788,0.6523078083992004,0.3500249981880188,qwen2.5-7b
R_harm_at_post,2,0.0741,0.9243340492248536,0.9501749873161316,0.9194005727767944,0.9749971628189088,0.6523078083992004,0.2621812522411346,qwen2.5-7b
R_harm_at_post,3,0.1111,0.9309590458869934,0.9502562284469604,0.9157536029815674,0.9767061471939088,0.6523078083992004,0.6744999885559082,qwen2.5-7b
R_harm_at_post,4,0.1481,0.9330617785453796,0.9519312381744384,0.9169887900352478,0.9782654047012328,0.6523078083992004,0.4359937608242035,qwen2.5-7b
R_harm_at_post,5,0.1852,0.9526277780532836,0.9726187586784364,0.9485164880752563,0.9895716309547424,0.6523078083992004,0.7153562307357788,qwen2.5-7b
R_harm_at_post,6,0.2222,0.962743043899536,0.9828624725341796,0.9633374214172364,0.9944403767585754,0.6523078083992004,0.6400937438011169,qwen2.5-7b
R_harm_at_post,7,0.2593,0.9637222290039062,0.9809250235557556,0.961696445941925,0.9934468865394592,0.6523078083992004,0.5672500133514404,qwen2.5-7b
R_harm_at_post,8,0.2963,0.9753902554512024,0.9900437593460084,0.9750841856002808,0.9984180331230164,0.6523078083992004,0.2972624897956848,qwen2.5-7b
R_harm_at_post,9,0.3333,0.9679194688796996,0.9845250248908995,0.9678359627723694,0.9950997829437256,0.6523078083992004,0.5797749757766724,qwen2.5-7b
R_harm_at_post,10,0.3704,0.9670451283454896,0.978362500667572,0.9607930779457092,0.9908421635627748,0.6523078083992004,0.500656247138977,qwen2.5-7b
R_harm_at_post,11,0.4074,0.9716743230819702,0.9763062596321106,0.958993673324585,0.9886019825935364,0.6523078083992004,0.1621062457561493,qwen2.5-7b
R_harm_at_post,12,0.4444,0.981713891029358,0.9857062697410583,0.9717109203338624,0.9949126839637756,0.6523078083992004,0.7743187546730042,qwen2.5-7b
R_harm_at_post,13,0.4815,0.9839909672737122,0.981556236743927,0.9654096961021424,0.9927393794059752,0.6523078083992004,0.2947874963283539,qwen2.5-7b
R_harm_at_post,14,0.5185,0.9910743236541748,0.9894437789916992,0.9790661334991456,0.9966706037521362,0.6523078083992004,0.7547749876976013,qwen2.5-7b
R_harm_at_post,15,0.5556,0.9918875098228456,0.9907875061035156,0.9815465211868286,0.997152864933014,0.6523078083992004,0.8451625108718872,qwen2.5-7b
R_harm_at_post,16,0.5926,0.993133306503296,0.9914687275886536,0.982370138168335,0.9975910186767578,0.6523078083992004,0.3274687528610229,qwen2.5-7b
R_harm_at_post,17,0.6296,0.989285409450531,0.9861375093460084,0.9718271493911744,0.9955502152442932,0.6523078083992004,0.0803687497973442,qwen2.5-7b
R_harm_at_post,18,0.6667,0.9842694401741028,0.9863499999046326,0.969035029411316,0.9962872266769408,0.6523078083992004,0.3867500126361847,qwen2.5-7b
R_harm_at_post,19,0.7037,0.9838597178459167,0.9861875176429749,0.9682506918907166,0.9962926506996156,0.6523078083992004,0.899399995803833,qwen2.5-7b
