model,arm,position,layer,relative_depth,tag_contrast,register_contrast,cos_tag_register,tag_split_half,register_split_half,floor,distinct
qwen2.5-7b,generated,t_inst,8,0.2963,assistant_vs_user,system_register_vs_user_register,0.09299484640359879,0.17872388660907745,0.9766443967819214,0.17872388660907745,True
qwen2.5-7b,generated,t_inst,8,0.2963,assistant_vs_user,tool_register_vs_user_register,0.1786307990550995,0.17872388660907745,0.9933280944824219,0.17872388660907745,True
qwen2.5-7b,generated,t_inst,9,0.3333,tool_vs_user,system_register_vs_tool_register,0.23426437377929688,0.912613034248352,0.9935808181762695,0.912613034248352,True
qwen2.5-7b,generated,t_inst,9,0.3333,tool_vs_user,system_register_vs_user_register,0.0668841078877449,0.912613034248352,0.9761630892753601,0.912613034248352,True
qwen2.5-7b,generated,t_inst,9,0.3333,tool_vs_user,tool_register_vs_user_register,0.20627525448799133,0.912613034248352,0.9930499792098999,0.912613034248352,True
qwen2.5-7b,generated,t_inst,9,0.3333,system_vs_user,system_register_vs_tool_register,0.26402929425239563,0.7837838530540466,0.9935808181762695,0.7837838530540466,True
qwen2.5-7b,generated,t_inst,9,0.3333,system_vs_user,system_register_vs_user_register,0.06958115100860596,0.7837838530540466,0.9761630892753601,0.7837838530540466,True
qwen2.5-7b,generated,t_inst,9,0.3333,system_vs_user,tool_register_vs_user_register,0.23593252897262573,0.7837838530540466,0.9930499792098999,0.7837838530540466,True
qwen2.5-7b,generated,t_inst,9,0.3333,assistant_vs_user,system_register_vs_tool_register,0.24510009586811066,0.1511862426996231,0.9935808181762695,0.1511862426996231,False
qwen2.5-7b,generated,t_inst,9,0.3333,assistant_vs_user,system_register_vs_user_register,0.13075105845928192,0.1511862426996231,0.9761630892753601,0.1511862426996231,True
qwen2.5-7b,generated,t_inst,9,0.3333,assistant_vs_user,tool_register_vs_user_register,0.1796894669532776,0.1511862426996231,0.9930499792098999,0.1511862426996231,False
qwen2.5-7b,generated,t_inst,10,0.3704,tool_vs_user,system_register_vs_tool_register,0.19062337279319763,0.9077438116073608,0.9932273030281067,0.9077438116073608,True
qwen2.5-7b,generated,t_inst,10,0.3704,tool_vs_user,system_register_vs_user_register,0.008373353630304337,0.9077438116073608,0.9765971899032593,0.9077438116073608,True
qwen2.5-7b,generated,t_inst,10,0.3704,tool_vs_user,tool_register_vs_user_register,0.1947649121284485,0.9077438116073608,0.9927275776863098,0.9077438116073608,True
qwen2.5-7b,generated,t_inst,10,0.3704,system_vs_user,system_register_vs_tool_register,0.22688382863998413,0.8059412240982056,0.9932273030281067,0.8059412240982056,True
qwen2.5-7b,generated,t_inst,10,0.3704,system_vs_user,system_register_vs_user_register,0.023491043597459793,0.8059412240982056,0.9765971899032593,0.8059412240982056,True
qwen2.5-7b,generated,t_inst,10,0.3704,system_vs_user,tool_register_vs_user_register,0.2235010713338852,0.8059412240982056,0.9927275776863098,0.8059412240982056,True
qwen2.5-7b,generated,t_inst,10,0.3704,assistant_vs_user,system_register_vs_tool_register,0.19337919354438782,0.46936535835266113,0.9932273030281067,0.46936535835266113,True
qwen2.5-7b,generated,t_inst,10,0.3704,assistant_vs_user,system_register_vs_user_register,0.16324841976165771,0.46936535835266113,0.9765971899032593,0.46936535835266113,True
qwen2.5-7b,generated,t_inst,10,0.3704,assistant_vs_user,tool_register_vs_user_register,0.10247331857681274,0.46936535835266113,0.9927275776863098,0.46936535835266113,True
qwen2.5-7b,generated,t_inst,11,0.4074,tool_vs_user,system_register_vs_tool_register,0.18225935101509094,0.8983563184738159,0.9929363131523132,0.8983563184738159,True
qwen2.5-7b,generated,t_inst,11,0.4074,tool_vs_user,system_register_vs_user_register,0.025613531470298767,0.8983563184738159,0.9753912687301636,0.8983563184738159,True
qwen2.5-7b,generated,t_inst,11,0.4074,tool_vs_user,tool_register_vs_user_register,0.17862755060195923,0.8983563184738159,0.9920908212661743,0.8983563184738159,True
qwen2.5-7b,generated,t_inst,11,0.4074,system_vs_user,system_register_vs_tool_register,0.24163517355918884,0.8022856712341309,0.9929363131523132,0.8022856712341309,True
qwen2.5-7b,generated,t_inst,11,0.4074,system_vs_user,system_register_vs_user_register,0.025242118164896965,0.8022856712341309,0.9753912687301636,0.8022856712341309,True
qwen2.5-7b,generated,t_inst,11,0.4074,system_vs_user,tool_register_vs_user_register,0.24235741794109344,0.8022856712341309,0.9920908212661743,0.8022856712341309,True
qwen2.5-7b,generated,t_inst,11,0.4074,assistant_vs_user,system_register_vs_tool_register,0.2587486505508423,0.47376060485839844,0.9929363131523132,0.47376060485839844,True
qwen2.5-7b,generated,t_inst,11,0.4074,assistant_vs_user,system_register_vs_user_register,0.18527299165725708,0.47376060485839844,0.9753912687301636,0.47376060485839844,True
qwen2.5-7b,generated,t_inst,11,0.4074,assistant_vs_user,tool_register_vs_user_register,0.1589868664741516,0.47376060485839844,0.9920908212661743,0.47376060485839844,True
qwen2.5-7b,generated,t_inst,12,0.4444,tool_vs_user,system_register_vs_tool_register,0.10678727179765701,0.8996883630752563,0.9934382438659668,0.8996883630752563,True
qwen2.5-7b,generated,t_inst,12,0.4444,tool_vs_user,system_register_vs_user_register,0.03086049109697342,0.8996883630752563,0.9755104780197144,0.8996883630752563,True
qwen2.5-7b,generated,t_inst,12,0.4444,tool_vs_user,tool_register_vs_user_register,0.13581582903862,0.8996883630752563,0.9922751188278198,0.8996883630752563,True
qwen2.5-7b,generated,t_inst,12,0.4444,system_vs_user,system_register_vs_tool_register,0.30257073044776917,0.8108081817626953,0.9934382438659668,0.8108081817626953,True
qwen2.5-7b,generated,t_inst,12,0.4444,system_vs_user,system_register_vs_user_register,0.0894957184791565,0.8108081817626953,0.9755104780197144,0.8108081817626953,True
qwen2.5-7b,generated,t_inst,12,0.4444,system_vs_user,tool_register_vs_user_register,0.27443549036979675,0.8108081817626953,0.9922751188278198,0.8108081817626953,True
qwen2.5-7b,generated,t_inst,12,0.4444,assistant_vs_user,system_register_vs_tool_register,0.3107394576072693,0.5969419479370117,0.9934382438659668,0.5969419479370117,True
qwen2.5-7b,generated,t_inst,12,0.4444,assistant_vs_user,system_register_vs_user_register,0.23251859843730927,0.5969419479370117,0.9755104780197144,0.5969419479370117,True
qwen2.5-7b,generated,t_inst,12,0.4444,assistant_vs_user,tool_register_vs_user_register,0.19412434101104736,0.5969419479370117,0.9922751188278198,0.5969419479370117,True
qwen2.5-7b,generated,t_inst,13,0.4815,tool_vs_user,system_register_vs_tool_register,0.08051620423793793,0.8909767866134644,0.9929844737052917,0.8909767866134644,True
qwen2.5-7b,generated,t_inst,13,0.4815,tool_vs_user,system_register_vs_user_register,0.03557882085442543,0.8909767866134644,0.9746338129043579,0.8909767866134644,True
qwen2.5-7b,generated,t_inst,13,0.4815,tool_vs_user,tool_register_vs_user_register,0.11249689012765884,0.8909767866134644,0.991604208946228,0.8909767866134644,True
qwen2.5-7b,generated,t_inst,13,0.4815,system_vs_user,system_register_vs_tool_register,0.2501297891139984,0.7996702790260315,0.9929844737052917,0.7996702790260315,True
qwen2.5-7b,generated,t_inst,13,0.4815,system_vs_user,system_register_vs_user_register,0.05684132128953934,0.7996702790260315,0.9746338129043579,0.7996702790260315,True
qwen2.5-7b,generated,t_inst,13,0.4815,system_vs_user,tool_register_vs_user_register,0.24152988195419312,0.7996702790260315,0.991604208946228,0.7996702790260315,True
qwen2.5-7b,generated,t_inst,13,0.4815,assistant_vs_user,system_register_vs_tool_register,0.35655882954597473,0.6671386957168579,0.9929844737052917,0.6671386957168579,True
qwen2.5-7b,generated,t_inst,13,0.4815,assistant_vs_user,system_register_vs_user_register,0.28574439883232117,0.6671386957168579,0.9746338129043579,0.6671386957168579,True
qwen2.5-7b,generated,t_inst,13,0.4815,assistant_vs_user,tool_register_vs_user_register,0.212260901927948,0.6671386957168579,0.991604208946228,0.6671386957168579,True
qwen2.5-7b,generated,t_inst,14,0.5185,tool_vs_user,system_register_vs_tool_register,0.10494394600391388,0.90057772397995,0.9926935434341431,0.90057772397995,True
qwen2.5-7b,generated,t_inst,14,0.5185,tool_vs_user,system_register_vs_user_register,0.006895828526467085,0.90057772397995,0.9731113314628601,0.90057772397995,True
qwen2.5-7b,generated,t_inst,14,0.5185,tool_vs_user,tool_register_vs_user_register,0.11726143956184387,0.90057772397995,0.991596519947052,0.90057772397995,True
qwen2.5-7b,generated,t_inst,14,0.5185,system_vs_user,system_register_vs_tool_register,0.2138681709766388,0.8069794774055481,0.9926935434341431,0.8069794774055481,True
qwen2.5-7b,generated,t_inst,14,0.5185,system_vs_user,system_register_vs_user_register,0.021535400301218033,0.8069794774055481,0.9731113314628601,0.8069794774055481,True
qwen2.5-7b,generated,t_inst,14,0.5185,system_vs_user,tool_register_vs_user_register,0.2168809026479721,0.8069794774055481,0.991596519947052,0.8069794774055481,True
qwen2.5-7b,generated,t_inst,14,0.5185,assistant_vs_user,system_register_vs_tool_register,0.21819421648979187,0.6444958448410034,0.9926935434341431,0.6444958448410034,True
qwen2.5-7b,generated,t_inst,14,0.5185,assistant_vs_user,system_register_vs_user_register,0.1679563820362091,0.6444958448410034,0.9731113314628601,0.6444958448410034,True
qwen2.5-7b,generated,t_inst,14,0.5185,assistant_vs_user,tool_register_vs_user_register,0.1306566596031189,0.6444958448410034,0.991596519947052,0.6444958448410034,True
qwen2.5-7b,generated,t_inst,15,0.5556,tool_vs_user,system_register_vs_tool_register,0.06958650797605515,0.8995620608329773,0.9931627511978149,0.8995620608329773,True
qwen2.5-7b,generated,t_inst,15,0.5556,tool_vs_user,system_register_vs_user_register,0.006327137816697359,0.8995620608329773,0.9735296964645386,0.8995620608329773,True
qwen2.5-7b,generated,t_inst,15,0.5556,tool_vs_user,tool_register_vs_user_register,0.08149726688861847,0.8995620608329773,0.9915026426315308,0.8995620608329773,True
qwen2.5-7b,generated,t_inst,15,0.5556,system_vs_user,system_register_vs_tool_register,0.24682456254959106,0.8132144808769226,0.9931627511978149,0.8132144808769226,True
qwen2.5-7b,generated,t_inst,15,0.5556,system_vs_user,system_register_vs_user_register,0.07101955264806747,0.8132144808769226,0.9735296964645386,0.8132144808769226,True
